date,time,temperature_2m,temp_f
2026-08-07,2026-08-06T17:45,24.6,76.3
2026-08-07,2026-08-06T21:45,19.2,66.6
2026-08-07,2026-08-06T21:45,19.2,66.6
2026-08-07,2026-08-07T01:15,18.1,64.6
2026-08-07,2026-08-07T06:00,16.1,61.0
2026-08-07,2026-08-07T10:45,22.9,73.2
2026-08-07,2026-08-07T15:30,26.8,80.2
2026-08-08,2026-08-08T00:45,19.0,66.2
2026-08-08,2026-08-08T05:45,16.4,61.5
2026-08-08,2026-08-08T10:30,22.1,71.8
2026-08-08,2026-08-08T15:30,27.7,81.9
2026-08-09,2026-08-09T00:45,18.7,65.7
2026-08-09,2026-08-09T05:45,20.3,68.5
2026-08-09,2026-08-09T10:30,24.4,75.9
2026-08-09,2026-08-09T15:30,29.2,84.6
2026-08-10,2026-08-10T01:30,18.5,65.3
2026-08-10,2026-08-10T06:15,17.4,63.3
2026-08-10,2026-08-10T10:45,23.1,73.6
2026-08-10,2026-08-10T15:30,27.8,82.0
2026-08-11,2026-08-11T01:00,15.8,60.4
2026-08-11,2026-08-11T06:00,15.8,60.4
2026-08-11,2026-08-11T10:45,21.6,70.9
2026-08-11,2026-08-11T15:45,25.8,78.4
2026-08-11,2026-08-11T12:45,24.4,75.9
2026-08-11,2026-08-11T15:30,26.5,79.7
2026-08-11,2026-08-11T16:00,25.8,78.4
2026-08-11,2026-08-11T16:15,25.7,78.3
2026-08-12,2026-08-11T17:00,25.4,77.7
2026-08-12,2026-08-12T01:15,14.6,58.3
2026-08-12,2026-08-12T06:15,14.0,57.2
2026-08-12,2026-08-12T10:45,20.1,68.2
