date,max_temp,min_temp
2021-08-01,24.6,12.3
2021-08-02,25.9,11.5
2021-08-03,28.0,12.3
2021-08-04,24.8,12.0
2021-08-05,22.8,11.3
2021-08-06,29.6,13.1
2021-08-07,29.0,14.8
2021-08-08,29.0,14.5
2021-08-09,28.7,14.0
2021-08-10,30.4,13.8
2021-08-11,29.0,15.6
2021-08-12,29.3,15.7
2021-08-13,27.5,15.7
2021-08-14,28.1,14.5
2022-08-01,26.2,14.8
2022-08-02,27.0,16.0
2022-08-03,27.4,14.5
2022-08-04,29.0,16.6
2022-08-05,27.1,15.2
2022-08-06,23.5,12.8
2022-08-07,23.2,12.0
2022-08-08,22.8,12.5
2022-08-09,23.2,12.8
2022-08-10,24.7,11.9
2022-08-11,23.0,12.1
2022-08-12,23.2,10.4
2022-08-13,26.5,13.4
2022-08-14,29.0,10.1
2023-08-01,23.5,12.0
2023-08-02,22.2,10.8
2023-08-03,20.2,11.0
2023-08-04,25.0,11.0
2023-08-05,28.6,12.6
2023-08-06,32.0,16.5
2023-08-07,31.0,17.0
2023-08-08,26.0,13.4
2023-08-09,25.6,13.2
2023-08-10,25.3,11.9
2023-08-11,25.0,13.8
2023-08-12,28.8,14.1
2023-08-13,30.2,15.4
2023-08-14,31.5,17.6
2024-08-01,28.1,14.0
2024-08-02,29.3,15.2
2024-08-03,30.6,17.1
2024-08-04,26.5,13.5
2024-08-05,26.2,13.1
2024-08-06,33.6,15.8
2024-08-07,31.9,18.5
2024-08-08,28.1,15.0
2024-08-09,28.8,14.0
2024-08-10,29.7,14.0
2024-08-11,25.7,14.6
2024-08-12,23.9,12.6
2024-08-13,26.0,13.2
2024-08-14,26.0,12.8
2025-08-01,24.8,11.7
2025-08-02,23.8,11.4
2025-08-03,24.2,11.9
2025-08-04,23.7,10.4
2025-08-05,24.3,10.9
2025-08-06,29.5,14.0
2025-08-07,26.4,14.8
2025-08-08,32.3,15.3
2025-08-09,30.3,16.6
2025-08-10,29.5,15.1
2025-08-11,26.8,13.7
2025-08-12,26.7,13.5
2025-08-13,24.7,13.0
2025-08-14,25.3,13.1
